n,legacy_path,open_this_file,v3_file,gender,ethnicity,source_url,notes
1,female/asian/13.jpg,data/legacy_snapshot/original_images/female/asian/13.jpg,a8fdf4b89af0e79fe9b483bb8f7e91016970ddfaf4744107d60552400f50a9d5.jpg,female,asian,,
2,female/asian/20.jpg,data/legacy_snapshot/original_images/female/asian/20.jpg,3358834a8afa4fcbd497bc47122c34cf016c3f8ebc58379c62f87834b83dc345.jpg,female,asian,,
3,female/asian/21.jpg,data/legacy_snapshot/original_images/female/asian/21.jpg,0aa4a8c921e5361cf0cacd3a921c058df9f4fccbbe26d56934e02987a02051a5.jpg,female,asian,,
4,female/asian/23.jpg,data/legacy_snapshot/original_images/female/asian/23.jpg,337b1d116367bc856bacd4fa414e72d1565e97e2bfe4a4e55344c37355964c12.jpg,female,asian,,
5,female/asian/42.jpg,data/legacy_snapshot/original_images/female/asian/42.jpg,d55e7a6e7af1d1d13b4c01256c4ec1fe41f2bd8e8417cb4c6c05125a39817d18.jpg,female,asian,,
6,female/asian/57.jpg,data/legacy_snapshot/original_images/female/asian/57.jpg,d2e36c202895486d86ce3bae208b2e26066649494d2c09ee2c5a53d159873b47.jpg,female,asian,,
7,female/asian/6.jpg,data/legacy_snapshot/original_images/female/asian/6.jpg,1710ac716159b80cdb6f0e169508507db548308b4efdcc82e6f0c111575ea76b.jpg,female,asian,,
8,female/asian/7.jpg,data/legacy_snapshot/original_images/female/asian/7.jpg,500c6325a50ff864db0f51b1e1d1c3266be283b2da9a0d846d73b975d20a6e24.jpg,female,asian,,
9,female/asian/d4_1.jpg,data/legacy_snapshot/original_images/female/asian/d4_1.jpg,1982efa9b7ae3138ca08a9090e67cb64fa9b6b5b20f655ca12ada1cd8c180d8e.jpg,female,asian,,
10,female/asian/d9.jpg,data/legacy_snapshot/original_images/female/asian/d9.jpg,17ce2563bc7c6b2f11eb0a745fca68f771d5a4c6f8f3b295d207a1df905fe3ad.jpg,female,asian,,
11,female/black/1.jpg,data/legacy_snapshot/original_images/female/black/1.jpg,4a0fe7898cf45051b9109707ec9588ce68790f46ccfd0c54e0a5b1fb44929297.jpg,female,black,,
12,female/black/15.jpg,data/legacy_snapshot/original_images/female/black/15.jpg,204a62a50873c360b6ea87f38156070cce29e4cb94e9edfc4ed2604354b6be2e.jpg,female,black,,
13,female/black/61.jpg,data/legacy_snapshot/original_images/female/black/61.jpg,86cd9b31740bf784c08f3093c6ddab8fa8aa4cd2845d59e6d9315359851fbb80.jpg,female,black,,
14,female/caucasian/10_1.jpg,data/legacy_snapshot/original_images/female/caucasian/10_1.jpg,062207a6d46d5939f039fc0754c2c88ade8304774382663aaba89f23dee6441d.jpg,female,caucasian,,
15,female/caucasian/11.jpg,data/legacy_snapshot/original_images/female/caucasian/11.jpg,754fb52a599f4466a7f777972455c6a63ddb0bc5304af12531599ef931ecaf21.jpg,female,caucasian,,
16,female/caucasian/12.jpg,data/legacy_snapshot/original_images/female/caucasian/12.jpg,242b1b0f13d17f5882ab80047a4b18c046e628aa3ab97ddd14ac5e180a3eb7c9.jpg,female,caucasian,,
17,female/caucasian/14.jpg,data/legacy_snapshot/original_images/female/caucasian/14.jpg,6c75c1c620b2452eea6f2c6fb514ebd34132d43c757e285693924279823f2828.jpg,female,caucasian,,
18,female/caucasian/18.jpg,data/legacy_snapshot/original_images/female/caucasian/18.jpg,aa3b1b06fa504cad31473407a8a3bd8ae210de518291428a095496f6109f58a0.jpg,female,caucasian,,
19,female/caucasian/19.jpg,data/legacy_snapshot/original_images/female/caucasian/19.jpg,fffc5e1c7c2f2fa97ddc04bbd4a1d733b07086faedd7f4d2695b165726e9b2f0.jpg,female,caucasian,,
20,female/caucasian/28.jpg,data/legacy_snapshot/original_images/female/caucasian/28.jpg,b0c1c24504f2fc99161b26590788fb1911f177e6a3be4827ec4f487c23989d92.jpg,female,caucasian,,
21,female/caucasian/40.jpg,data/legacy_snapshot/original_images/female/caucasian/40.jpg,cdccbbc6652e190ab58b884e000467743df33f52a5469a0a039feaf4be413572.jpg,female,caucasian,,
22,female/caucasian/5.jpg,data/legacy_snapshot/original_images/female/caucasian/5.jpg,06f3692caf400ddea1d83e18418d17606cddb3d43332c20f13def0ca65452006.jpg,female,caucasian,,
23,female/caucasian/55.jpg,data/legacy_snapshot/original_images/female/caucasian/55.jpg,c22f5476ca911adba7cc81af1afeca1cc653c31736fcab44d60a01a1a8fee5e6.jpg,female,caucasian,,
24,female/caucasian/62.jpg,data/legacy_snapshot/original_images/female/caucasian/62.jpg,ff0d84b712a6d94203c21fd44aa3a596585ea58b19b5e6f652049706f31481ba.jpg,female,caucasian,,
